"","RouteIdentifier","survey_year","CollectorNumber","nstop","latitude","longitude","StateProvince","bcr"
"517","NS049",2006,1030336,9,44.374001,-64.443802,"NS",14
"518","NS049",2005,1030336,10,44.374001,-64.443802,"NS",14
"519","NS049",2015,1030401,10,44.374001,-64.443802,"NS",14
"520","NS049",2012,1030401,10,44.374001,-64.443802,"NS",14
"521","NS049",2013,1030401,10,44.374001,-64.443802,"NS",14
"522","NS049",2011,1030401,10,44.374001,-64.443802,"NS",14
"523","NS049",2016,1030401,10,44.374001,-64.443802,"NS",14
"524","NS049",2009,1030401,10,44.374001,-64.443802,"NS",14
"525","NS049",2008,1030401,9,44.374001,-64.443802,"NS",14
"526","NS049",2014,1030401,10,44.374001,-64.443802,"NS",14
"527","NS049",2010,1030401,9,44.374001,-64.443802,"NS",14
"528","NS049",2002,1074838,10,44.374001,-64.443802,"NS",14
"529","NS050",2005,1045407,10,45.694988,-62.212818,"NS",14
"530","NS050",2004,1045407,10,45.694988,-62.212818,"NS",14
"531","NS050",2006,1045407,10,45.694988,-62.212818,"NS",14
"532","NS050",2012,1051840,10,45.694988,-62.212818,"NS",14
"533","NS050",2010,1051840,9,45.694988,-62.212818,"NS",14
"534","NS052",2010,1081635,10,43.874599,-64.968697,"NS",14
"535","NS052",2009,1081635,10,43.874599,-64.968697,"NS",14
"536","NS015",2019,1048652,10,45.63282,-63.057991,"NS",14
"537","NS017",2019,1051815,10,45.105282,-63.46595,"NS",14
"538","NS030",2019,1051829,10,45.22155,-63.98658,"NS",14
"539","NS019",2018,1051816,10,44.81395,-62.67519,"NS",14
"540","NS019",2019,1051816,10,44.81395,-62.67519,"NS",14
"541","NS027",2019,1077695,10,44.723099,-63.916401,"NS",14
"542","NS035",2019,1031548,10,44.339329,-64.628418,"NS",14
"543","NS018",2019,1030162,9,44.97805,-62.665749,"NS",14
"544","NS040",2019,1077838,10,44.509102,-65.259102,"NS",14
"545","NS046",2019,1077309,10,44.3951,-65.820198,"NS",14
"546","NS039",2019,1051834,10,44.96664,-65.057533,"NS",14
"547","NS034",2019,1031548,10,44.265541,-64.602493,"NS",14
"548","NS049",2019,1031548,10,44.374001,-64.443802,"NS",14
"549","NS020",2019,1080791,8,44.806,-63.170052,"NS",14
"550","NS044",2019,1069217,10,44.175701,-66.065002,"NS",14
