StateProvince,new_med_tau,new_med_prec,new_min_prec,new_max_prec,Species
NB,3.02317236063344,11.8212727541305,9.38223907297254,16.2613902081078,Barred Owl
NS,0.199280587920647,12.3294745953066,10.454102070379,18.7145369322043,Barred Owl
PE,5.82969659238924,13.7935359092925,10.7586707612966,22.3944418287869,Barred Owl
StateProvince,new_med_tau,new_med_prec,new_min_prec,new_max_prec,Species
NB,-2.28012506498202,9.91114951525517,8.76279986548696,20.8246414923719,Great Horned Owl
NS,-4.38022265119217,11.8015511415593,9.93734526579016,23.5210248873284,Great Horned Owl
PE,-1.08119415255832,13.044515962181,10.7863765834778,13.7329632197204,Great Horned Owl
StateProvince,new_med_tau,new_med_prec,new_min_prec,new_max_prec,Species
NB,-2.06654970528941,10.9545771165676,9.5219184884789,17.0447631334258,Northern Saw-whet Owl
NS,-3.83686997548388,13.2304299458337,10.8123499052392,22.5751907929197,Northern Saw-whet Owl
PE,-3.2267732336592,12.5869461671417,10.2752057449073,18.7095251233365,Northern Saw-whet Owl
