StateProvince,med_tau,lcl_tau,ucl_tau,iw_tau,n,Species
NB,1.85251986733611,-4.09889406380031,8.87362279404447,12.9725168578448,14,Barred Owl
NS,0.713080466324312,-4.90935906846639,6.39363472251384,11.3029937909802,9,Barred Owl
PE,1.09628696782682,-7.47984292976526,7.74923970423197,15.2290826339972,1,Barred Owl
StateProvince,med_tau,lcl_tau,ucl_tau,iw_tau,n,Species
NB,-2.76274030129947,-7.33220999420081,1.69546171507899,9.02767170927981,13,Great Horned Owl
NS,-2.91549870821306,-7.79748400045017,1.68715949353249,9.48464349398265,9,Great Horned Owl
StateProvince,med_tau,lcl_tau,ucl_tau,iw_tau,n,Species
NB,-2.86578124172195,-7.01369257349558,1.70342927108157,8.71712184457716,14,Northern Saw-whet Owl
NS,-3.2252821038177,-7.33499158006247,0.971274387603955,8.30626596766642,10,Northern Saw-whet Owl
PE,-3.38262741843715,-7.77468586521865,1.48823460254697,9.26292046776563,1,Northern Saw-whet Owl
