SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
NSWO,41,41,0.389089793,0.20576941,0.68601465,0.48024524,-0.429324565,-4.809922887,4.392979887,9.202902774,0,NB,66,1
NSWO,42,42,0.383521429,0.218655991,0.614223297,0.395567306,-0.153842985,-3.851226976,4.188744905,8.039971881,0,NB,68,1
NSWO,43,43,0.465606211,0.30473295,0.757757203,0.453024252,-0.294913763,-3.785431471,3.422585136,7.208016607,0,NB,70,1
NSWO,44,44,0.402120357,0.246207955,0.624883019,0.378675064,-0.061390498,-3.561304734,4.0881136,7.649418334,0,NB,72,2
NSWO,45,45,0.491394573,0.329874286,0.800751609,0.470877323,-0.499170827,-3.848788251,2.972086822,6.820875074,0,NB,75,2
NSWO,46,46,0.423936021,0.244679137,0.748260192,0.503581055,-0.077942125,-4.376895876,4.45121697,8.828112847,0,NB,77,2
NSWO,47,47,0.390845453,0.236381265,0.618507332,0.382126067,0.837934419,-2.779780247,5.310846755,8.090627002,0,NB,79,2
NSWO,48,48,0.472374511,0.308206843,0.784216352,0.476009509,0.622429611,-2.690505186,4.679351836,7.369857022,0,NB,85,3
NSWO,49,49,0.549428184,0.361061582,0.974376452,0.613314869,-0.922440128,-4.678189197,2.48813179,7.166320987,0,NB,87,1
NSWO,50,50,0.431699121,0.2301806,0.795997655,0.565817054,-1.017940841,-5.62212317,3.713271122,9.335394291,0,NB,88,1
NSWO,51,51,0.428074753,0.251784048,0.708725997,0.456941949,-0.944019965,-4.958329353,3.173834865,8.132164218,0,NB,89,1
NSWO,52,52,0.481458853,0.310997532,0.809396092,0.49839856,-0.413174846,-3.986875316,3.368447725,7.355323041,0,NB,91,1
NSWO,53,53,0.506098598,0.337137996,0.841229817,0.504091821,-0.841985313,-4.384041856,2.662442208,7.046484063,0,NB,92,1
NSWO,54,54,0.439939905,0.277392093,0.697673263,0.42028117,-0.765025728,-4.346708901,2.971144709,7.31785361,0,NB,96,1
NSWO,55,55,0.383873854,0.182397096,0.801409676,0.619012581,-1.784046895,-7.663968992,3.999103675,11.66307267,0,NB,97,1
NSWO,56,56,0.420369878,0.250416672,0.700667575,0.450250903,0.38852528,-3.352148812,4.822844977,8.174993789,0,NB,98,2
NSWO,57,57,0.441413846,0.278841495,0.714298777,0.435457282,-0.104649388,-3.61091239,3.765580163,7.376492554,0,NB,99,1
NSWO,58,58,0.454131068,0.256914812,0.796351199,0.539436387,-1.49221943,-5.872184942,2.796024365,8.668209307,0,NB,100,1
NSWO,59,59,0.501260371,0.338440715,0.811316436,0.472875721,0.679785546,-2.375430719,4.565073192,6.940503911,0,NB,101,3
NSWO,60,60,0.518939387,0.344777994,0.845861625,0.501083632,-2.269730817,-6.193040234,1.01364303,7.206683264,0,NB,102,2
NSWO,61,61,0.471867484,0.309015273,0.763755477,0.454740204,-0.282739211,-3.730868217,3.614918331,7.345786548,0,NB,103,1
NSWO,62,62,0.455307899,0.291575279,0.727708153,0.436132874,-0.849128742,-4.366109333,2.718494685,7.084604018,0,NB,109,1
NSWO,63,63,0.457995943,0.295319587,0.719701763,0.424382177,-1.495154152,-5.187504272,1.893009645,7.080513916,0,NS,114,1
NSWO,64,64,0.418522372,0.23340751,0.733055853,0.499648343,-0.25607994,-4.50446195,4.461228121,8.965690071,0,NS,115,1
NSWO,65,65,0.430346805,0.272500952,0.678281665,0.405780713,-0.398850382,-3.921062096,3.405972222,7.327034318,0,NS,130,1
NSWO,66,66,0.42272209,0.303534266,0.583841459,0.280307193,-0.726139461,-3.499377743,2.106773968,5.606151711,0,NS,131,14
NSWO,67,67,0.485086018,0.32122747,0.743491556,0.422264086,-1.531083212,-5.018744349,1.93908986,6.95783421,0,NS,133,8
NSWO,68,68,0.42101838,0.276108481,0.622999965,0.346891484,-0.222224855,-3.436839362,3.543763097,6.980602459,0,NS,134,3
NSWO,69,69,0.536008993,0.366436605,0.829344076,0.462907471,-2.732225128,-6.485178788,0.410865064,6.896043852,-2.732225128,NS,137,6
NSWO,70,70,0.430952864,0.295571788,0.61862876,0.323056971,-0.384767178,-3.484201314,3.183106761,6.667308075,0,NS,138,7
NSWO,71,71,0.422930282,0.259434264,0.641364508,0.381930244,-0.595499369,-3.990614883,3.411061555,7.401676437,0,NS,139,1
NSWO,72,72,0.393487422,0.223942512,0.638921643,0.414979131,-0.21873431,-4.187422978,4.493438987,8.680861966,0,NS,143,2
NSWO,73,73,0.519786486,0.244834483,1.179528696,0.934694213,-0.42565278,-6.39392654,6.183752509,12.57767905,0,NS,165,1
NSWO,74,74,0.432833277,0.264931017,0.704973566,0.440042549,-0.808922354,-4.649489987,3.184097285,7.833587272,0,NS,171,1
NSWO,75,75,0.478594918,0.283925452,0.796552668,0.512627217,-1.086761725,-5.163648096,3.324591979,8.488240075,0,NS,173,1
NSWO,76,76,0.41573627,0.259473257,0.635421202,0.375947945,-0.49029963,-3.995134251,3.530822549,7.5259568,0,NS,175,1
NSWO,77,77,0.467534278,0.314784239,0.71580694,0.401022701,-1.678826493,-5.303640609,1.53997809,6.843618698,0,NS,176,2
NSWO,78,78,0.476605014,0.301705589,0.750376606,0.448671016,-0.861063043,-4.452648787,3.253539843,7.70618863,0,NS,177,1
NSWO,79,79,0.463795949,0.302595454,0.721024254,0.4184288,-0.778974879,-4.200211502,2.997805845,7.198017348,0,NS,178,2
NSWO,80,80,0.584352149,0.383306202,1.015326084,0.632019882,-2.269567896,-6.261029535,1.047586617,7.308616152,0,NS,182,1
NSWO,81,81,0.365188801,0.165352241,0.736172548,0.570820306,1.487056147,-4.653875193,9.2325228,13.88639799,0,NS,185,2
NSWO,82,82,0.395209873,0.208932055,0.677735329,0.468803273,-0.423256029,-4.845520276,4.901493286,9.747013562,0,NS,186,1
NSWO,83,83,0.603504365,0.33975198,1.163516236,0.823764256,-0.872421246,-5.870736324,4.386582479,10.2573188,0,NS,190,2
NSWO,84,84,0.391943942,0.223685639,0.624995344,0.401309705,-0.562257042,-4.464121097,3.944296027,8.408417124,0,NS,191,1
NSWO,85,85,0.664555061,0.389835167,1.288117678,0.898282511,-1.954151932,-6.785354712,2.405446216,9.190800928,0,NS,192,1
NSWO,86,86,0.434547726,0.27650215,0.677297364,0.400795214,-1.069467142,-4.747167742,2.671443783,7.418611524,0,NS,193,2
NSWO,87,87,0.482780238,0.283282629,0.808453074,0.525170445,-0.794074499,-4.805885487,3.748094579,8.553980066,0,NS,195,1
NSWO,88,88,0.475895471,0.305028296,0.782865062,0.477836765,-1.453381766,-5.401484401,2.276486017,7.677970418,0,NS,200,1
NSWO,89,89,0.438917084,0.27798438,0.672808063,0.394823683,-1.101235498,-4.641945948,2.578465413,7.220411362,0,NS,202,2
NSWO,90,90,0.603763788,0.383892198,1.081881544,0.697989346,-2.30722714,-6.548658879,1.268086627,7.816745507,0,NS,203,1
NSWO,91,91,0.496869395,0.320300246,0.796865562,0.476565316,-1.471254257,-5.255859092,2.235938952,7.491798044,0,NS,205,1
