abund,year,grid_id
0.494650876,2001,49
0.494650876,2001,49
0.498965759,2002,49
0.498965759,2002,49
0.503317728,2003,49
0.503317728,2003,49
0.507707092,2004,49
0.507707092,2004,49
0.510416038,2005,49
0.510416038,2005,49
0.516185224,2001,59
0.516185224,2001,59
0.520927028,2002,59
0.520927028,2002,59
0.521209656,2002,60
0.521209656,2002,60
0.523561434,2008,49
0.523561434,2008,49
0.525316805,2001,60
0.525316805,2001,60
0.525911455,2003,59
0.525911455,2003,59
0.52811168,2009,49
0.52811168,2009,49
0.530734284,2004,59
0.530734284,2004,59
0.533687403,2005,60
0.533687403,2005,60
0.533764303,2001,36
0.533764303,2001,36
0.537329179,2011,49
0.537329179,2011,49
0.537920439,2007,49
0.537920439,2007,49
0.540510931,2006,59
0.540510931,2006,59
0.541588462,2005,36
0.541588462,2005,36
0.541997087,2012,49
0.541997087,2012,49
0.543649696,2001,46
0.543649696,2001,46
0.54418934,2003,60
0.54418934,2003,60
0.546129294,2003,36
0.546129294,2003,36
0.546790253,2006,60
0.546790253,2006,60
0.548075158,2004,36
0.548075158,2004,36
0.548400079,2012,46
0.548400079,2012,46
0.550464813,2008,59
0.550464813,2008,59
0.551187639,2007,60
0.551187639,2007,60
0.551947244,2010,49
0.551947244,2010,49
0.552295978,2006,36
0.552295978,2006,36
0.553109817,2014,49
0.553109817,2014,49
0.554498604,2009,36
0.554498604,2009,36
0.554720437,2006,46
0.554720437,2006,46
0.555161095,2003,46
0.555161095,2003,46
0.555229867,2005,59
0.555229867,2005,59
0.555509199,2009,59
0.555509199,2009,59
0.5579233,2015,49
0.5579233,2015,49
0.560087226,2009,60
0.560087226,2009,60
0.562777999,2016,49
0.562777999,2016,49
0.564246048,2002,36
0.564246048,2002,36
0.564455416,2001,27
0.564455416,2001,27
0.564589965,2010,60
0.564589965,2010,60
0.565126157,2007,46
0.565126157,2007,46
0.565734853,2011,59
0.565734853,2011,59
0.566330447,2013,49
0.566330447,2013,49
0.566364128,2011,46
0.566364128,2011,46
0.567536477,2007,57
0.567536477,2007,57
0.568580368,2014,27
0.568580368,2014,27
0.568609749,2009,39
0.568609749,2009,39
0.569459402,2008,46
0.569459402,2008,46
0.570048734,2012,60
0.570048734,2012,60
0.570587437,2012,36
0.570587437,2012,36
0.57059425,2019,27
0.57059425,2019,27
0.57091693,2012,59
0.57091693,2012,59
0.570957701,2005,27
0.570957701,2005,27
0.571315052,2018,27
0.571315052,2018,27
0.571429583,2016,36
0.571429583,2016,36
0.572036723,2017,27
0.572036723,2017,27
0.572285767,2012,27
0.572285767,2012,27
0.572612428,2018,49
0.572612428,2018,49
0.572759262,2016,27
0.572759262,2016,27
0.573142352,2005,46
0.573142352,2005,46
0.573207373,2006,39
0.573207373,2006,39
0.573393437,2002,46
0.573393437,2002,46
0.57348267,2015,27
0.57348267,2015,27
0.574409938,2004,57
0.574409938,2004,57
0.574452162,2009,27
0.574452162,2009,27
0.574475586,2018,36
0.574475586,2018,36
0.57473508,2008,27
0.57473508,2008,27
0.575003009,2015,46
0.575003009,2015,46
0.575304368,2005,57
0.575304368,2005,57
0.575507389,2016,57
0.575507389,2016,57
0.575649336,2008,57
0.575649336,2008,57
0.575813427,2002,57
0.575813427,2002,57
0.57620011,2006,57
0.57620011,2006,57
0.57655239,2015,36
0.57655239,2015,36
0.576631752,2016,24
0.576631752,2016,24
0.576674138,2003,57
0.576674138,2003,57
0.577232305,2016,46
0.577232305,2016,46
0.577392723,2008,39
0.577392723,2008,39
0.578123545,2019,18
0.578123545,2019,18
0.57813866,2019,57
0.57813866,2019,57
0.578600406,2004,39
0.578600406,2004,39
0.579545984,2018,24
0.579545984,2018,24
0.580711647,2018,19
0.580711647,2018,19
0.58194282,2015,57
0.58194282,2015,57
0.582017114,2002,39
0.582017114,2002,39
0.582355173,2013,18
0.582355173,2013,18
0.58237327,2018,46
0.58237327,2018,46
0.58331575,2017,19
0.58331575,2017,19
0.583627837,2012,39
0.583627837,2012,39
0.583986818,2010,36
0.583986818,2010,36
0.584563603,2010,57
0.584563603,2010,57
0.58486377,2007,27
0.58486377,2007,27
0.585398186,2018,57
0.585398186,2018,57
0.585871584,2007,59
0.585871584,2007,59
0.585931432,2016,19
0.585931432,2016,19
0.586003711,2014,44
0.586003711,2014,44
0.586082969,2016,18
0.586082969,2016,18
0.586472904,2019,36
0.586472904,2019,36
0.586641354,2013,44
0.586641354,2013,44
0.586887342,2015,24
0.586887342,2015,24
0.587578011,2017,46
0.587578011,2017,46
0.588346248,2015,39
0.588346248,2015,39
0.588558742,2015,19
0.588558742,2015,19
0.588880376,2011,44
0.588880376,2011,44
0.590133531,2006,27
0.590133531,2006,27
