SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
GHOW,40,40,0.346182291,0.204244565,0.546963879,0.342719314,-0.856166665,-4.106394329,3.119280087,7.225674416,0,NB,66,1
GHOW,41,41,0.479345756,0.275534514,0.908964944,0.633430431,-1.927067947,-6.300220005,2.263144183,8.563364189,0,NB,68,1
GHOW,42,42,0.393464289,0.235199676,0.65782631,0.422626634,-0.968024644,-4.511708866,3.1144499,7.626158766,0,NB,69,1
GHOW,43,43,0.363486805,0.229634425,0.560060797,0.330426372,-1.358017734,-4.573354856,2.106026479,6.679381334,0,NB,70,2
GHOW,44,44,0.396137368,0.247312191,0.640841281,0.39352909,-1.239743347,-4.550096968,2.353809892,6.90390686,0,NB,71,2
GHOW,45,45,0.344137741,0.207857367,0.537565414,0.329708048,-0.722794661,-4.001008955,3.335845335,7.33685429,0,NB,72,2
GHOW,46,46,0.354587607,0.184097077,0.649455605,0.465358527,-0.217653931,-4.563533238,5.412691836,9.976225075,0,NB,75,1
GHOW,47,47,0.364343008,0.214218759,0.595803171,0.381584412,-1.4176319,-5.01566152,2.413418657,7.429080177,0,NB,77,2
GHOW,48,48,0.371251538,0.221070993,0.599542368,0.378471375,-1.378243097,-4.861748719,2.373927922,7.235676641,0,NB,78,1
GHOW,49,49,0.373389925,0.237163999,0.572972273,0.335808273,-1.379311775,-4.600329002,2.058995074,6.659324076,0,NB,79,2
GHOW,50,50,0.379858995,0.209703944,0.679326382,0.469622438,-0.251683849,-4.314210972,4.786514445,9.100725417,0,NB,85,1
GHOW,51,51,0.370094446,0.22510261,0.59571294,0.370610329,-0.354048831,-3.74665051,3.83018635,7.576836859,0,NB,87,1
GHOW,52,52,0.36504565,0.215389967,0.590112036,0.374722069,-1.027540301,-4.476883416,2.978750499,7.455633915,0,NB,89,1
GHOW,53,53,0.365750359,0.219686112,0.587554772,0.36786866,-0.964695981,-4.323447208,2.886613886,7.210061094,0,NB,91,1
GHOW,54,54,0.337036888,0.199843202,0.5301273,0.330284097,-0.255493612,-3.529432211,3.939701016,7.469133228,0,NB,92,1
GHOW,55,55,0.312714724,0.148856936,0.640143636,0.4912867,-2.734065779,-8.183317277,2.754598151,10.93791543,0,NB,96,1
GHOW,56,56,0.368878639,0.211218184,0.61648732,0.405269136,-1.624413262,-5.491303873,2.340230088,7.83153396,0,NB,98,1
GHOW,57,57,0.370639666,0.222935743,0.584383896,0.361448153,-1.108796813,-4.40403973,2.680793959,7.084833689,0,NB,99,1
GHOW,58,58,0.345020568,0.187409899,0.604278782,0.416868883,-0.029093571,-3.954509175,4.806661513,8.761170688,0,NB,100,2
GHOW,59,59,0.374802867,0.235851249,0.57280703,0.336955781,-0.738338078,-3.783791638,2.971832564,6.755624203,0,NB,101,2
GHOW,60,60,0.345739237,0.211885689,0.540861043,0.328975354,0.285505168,-3.113076211,4.790575515,7.903651726,0,NB,102,2
GHOW,61,61,0.424656677,0.271579748,0.68301918,0.411439431,-1.597010715,-4.998778981,1.788372528,6.787151508,0,NB,103,1
GHOW,62,62,0.355857574,0.212425168,0.561449387,0.349024219,-0.607738495,-3.853533265,3.358850776,7.212384042,0,NB,109,1
GHOW,63,63,0.329059788,0.193503955,0.515108789,0.321604834,-0.042978508,-3.327916065,4.246837041,7.574753107,0,NS,114,1
GHOW,64,64,0.389222429,0.22142166,0.657581655,0.436159994,-1.92515042,-5.939031073,2.018104059,7.957135131,0,NS,130,1
GHOW,65,65,0.397689892,0.285108468,0.549896754,0.264788286,-1.677478506,-4.326031708,1.004610143,5.330641851,0,NS,131,14
GHOW,66,66,0.479396094,0.337642526,0.69928908,0.361646554,-1.207492159,-4.023631616,1.869408172,5.893039788,0,NS,133,8
GHOW,67,67,0.396437101,0.235901412,0.675146542,0.43924513,-0.265314671,-4.330899826,4.630557793,8.961457619,0,NS,134,2
GHOW,68,68,0.425480887,0.287900273,0.632294243,0.34439397,-2.160576955,-5.40087071,0.785690663,6.186561373,-2.160576955,NS,137,6
GHOW,69,69,0.31402535,0.193061188,0.477796213,0.284735025,0.494134612,-2.858746983,4.931776804,7.790523787,0,NS,138,5
GHOW,70,70,0.378474226,0.23810745,0.582268298,0.344160848,-0.722119239,-3.960357065,3.142655661,7.103012726,0,NS,139,1
GHOW,71,71,0.345353672,0.207016178,0.537923791,0.330907614,-0.01985839,-3.334819839,4.364736049,7.699555889,0,NS,143,2
