SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
NSWO,80,80,0.670446467,0.449724118,0.949268878,0.49954476,-0.344549945,-3.472088162,3.48476792,6.956856083,0,NS,175,1
NSWO,81,81,0.697710286,0.393484783,1.243324986,0.849840203,-3.445619635,-8.828975891,1.486737531,10.31571342,0,NS,176,2
NSWO,82,82,0.743529361,0.463438226,1.176278704,0.712840477,-1.16768825,-5.115446369,3.503120242,8.618566611,0,NS,177,1
NSWO,83,83,0.685322302,0.414430572,1.129561162,0.71513059,-0.415807727,-4.624275271,4.421834524,9.046109795,0,NS,178,2
NSWO,84,84,0.871158773,0.601630942,1.425565321,0.823934379,-2.449807669,-6.151120346,0.86735254,7.018472886,-2.449807669,NS,182,1
NSWO,85,85,0.667123137,0.436612083,0.98873458,0.552122498,0.534193856,-3.053999678,5.275849869,8.329849547,0,NS,185,2
NSWO,86,86,0.750680271,0.515431998,1.110393668,0.59496167,-1.466558263,-4.818773069,2.091718068,6.910491137,0,NS,186,1
NSWO,87,87,0.754902936,0.523761035,1.161963408,0.638202373,-0.857479798,-4.2171083,2.669429775,6.886538075,0,NS,190,2
NSWO,88,88,0.669236912,0.441704903,0.938868688,0.497163785,-0.977573442,-4.088664175,2.522008656,6.61067283,0,NS,191,2
NSWO,89,89,0.810385481,0.57365704,1.289287939,0.715630899,-2.100149234,-5.847381094,1.039790645,6.887171739,0,NS,192,1
NSWO,90,90,0.691216962,0.471396737,1.000206695,0.528809958,-0.667299862,-3.905824956,2.906357822,6.812182778,0,NS,193,2
NSWO,91,91,0.652988421,0.415012439,0.938864025,0.523851586,-0.283780239,-3.532054793,3.738514462,7.270569256,0,NS,195,1
NSWO,92,92,0.722784298,0.492079986,1.080714145,0.588634159,-0.995547144,-4.40789342,2.62603617,7.03392959,0,NS,200,1
NSWO,93,93,0.741024497,0.45771603,1.188573409,0.730857379,-1.083229899,-5.069861445,3.508977149,8.578838594,0,NS,202,2
NSWO,94,94,0.857212833,0.574131082,1.432774894,0.858643813,-2.716474468,-6.744522955,0.833342496,7.577865451,-2.716474468,NS,203,1
NSWO,95,95,0.734789635,0.500029742,1.068508517,0.568478776,-1.394441755,-4.722830678,2.213747807,6.936578485,0,NS,205,2
NSWO,96,96,0.755151219,0.508768751,1.150142662,0.641373912,-1.385093569,-4.832090158,2.277889952,7.109980109,0,NS,208,1
NSWO,97,97,0.760044187,0.509913644,1.207701176,0.697787532,-0.975365369,-4.545868314,2.733335014,7.279203328,0,NS,209,3
NSWO,98,98,0.76084861,0.533391132,1.12846354,0.595072408,-1.780736176,-4.962228569,1.25428559,6.216514159,0,NS,210,4
NSWO,99,99,0.692101719,0.455315417,1.03582893,0.580513513,-0.710889365,-4.179791904,3.069276115,7.249068019,0,NS,211,1
NSWO,100,100,0.679814581,0.439953383,1.009987785,0.570034402,-0.712211547,-4.201288613,3.136040293,7.337328906,0,NS,212,1
NSWO,101,101,0.74023011,0.502035935,1.127872774,0.62583684,-1.101240131,-4.489745995,2.488585864,6.978331859,0,NS,215,1
NSWO,102,102,0.687942712,0.440266399,1.037438406,0.597172007,-0.55941692,-4.117771573,3.610414904,7.728186477,0,NS,219,1
NSWO,103,103,0.724854385,0.480823094,1.112639488,0.631816394,-1.086462114,-4.694046026,2.678274214,7.37232024,0,PE,220,1
NSWO,104,104,0.775739767,0.431905376,1.43689027,1.004984894,-1.837487273,-6.855407467,3.414807536,10.270215,0,PE,221,1
NSWO,105,105,0.852677699,0.540018818,1.491310634,0.951291816,-3.153201638,-7.730873106,0.838261279,8.569134385,-3.153201638,PE,222,1
NSWO,106,106,0.734315693,0.463271552,1.141055425,0.677783873,-1.494393088,-5.376967981,2.73998187,8.116949851,0,PE,223,1
NSWO,107,107,0.793220421,0.540196103,1.232954551,0.692758449,-1.774956228,-5.487150465,1.936923677,7.424074142,0,PE,224,1
NSWO,108,108,0.784572539,0.527065108,1.237529302,0.710464194,-1.679222759,-5.48883064,2.107237813,7.596068452,0,PE,230,1
NSWO,109,109,0.705291944,0.393359239,1.267031604,0.873672365,-1.274777638,-6.467108589,3.943728732,10.41083732,0,PE,234,1
NSWO,110,110,0.760970337,0.537704585,1.1197511,0.582046515,-0.656684806,-3.729478888,2.85603188,6.585510768,0,PE,235,4
NSWO,111,111,0.718805951,0.457588058,1.152643672,0.695055614,-1.004426141,-5.024336963,3.168976099,8.193313062,0,PE,241,1
