abund,year,grid_id
0.832612406923162,2001,3
0.538402006675259,2002,3
0.644763272771864,2003,3
0.522178717703848,2004,3
0.591212764448884,2005,3
0.477722002542527,2006,3
0.456880616003859,2007,3
0.436915651153854,2008,3
0.399477907269643,2010,3
0.381939618166204,2011,3
0.349069131977119,2013,3
0.333678237356433,2014,3
0.318946215252168,2015,3
0.304846325626667,2016,3
0.287286872117079,2017,3
0.274656389993468,2018,3
abund,year,grid_id
0.610671205992079,2001,4
0.479431226937412,2002,4
0.448587247057725,2003,4
0.696396821232005,2004,4
0.346991881546159,2005,4
0.364707519150185,2006,4
0.368787195552037,2007,4
0.593407093684802,2008,4
0.341873234552213,2009,4
0.2530766031121,2010,4
0.249433072159607,2011,4
0.290537159958522,2012,4
0.259423756886871,2013,4
0.247820093350429,2014,4
0.274572119705658,2015,4
0.274272884265039,2016,4
0.463421658577068,2017,4
0.236105187517907,2018,4
0.23225738913928,2019,4
abund,year,grid_id
0.398543534263206,2001,6
0.387970951607996,2002,6
0.378092431691362,2003,6
0.355269834663173,2004,6
0.473221245295606,2005,6
0.50525788453284,2006,6
0.418848491655777,2007,6
0.715381055775131,2008,6
0.497242246256276,2009,6
0.674171904668609,2010,6
0.709003679861221,2011,6
0.416932817787448,2012,6
0.406354581932314,2013,6
0.29043141702217,2014,6
0.306279741083812,2015,6
0.339015161755447,2016,6
0.383911434417651,2017,6
0.319165006476617,2018,6
0.271245236435492,2019,6
abund,year,grid_id
0.457020343685553,2001,7
0.407032632440803,2005,7
0.395383725465102,2006,7
0.384056614252023,2007,7
0.424119871639573,2008,7
0.362899928357353,2009,7
0.353624474464208,2010,7
0.433008846986605,2011,7
0.335734278517503,2012,7
0.45783781224625,2013,7
0.437201711158408,2015,7
0.264735426386615,2016,7
0.276098463031541,2018,7
0.268158390695743,2019,7
abund,year,grid_id
0.949215270987091,2001,10
0.63723416408511,2002,10
0.739377077511345,2003,10
0.791287377165931,2004,10
0.723972796466654,2005,10
0.70207264710317,2006,10
0.484802925447775,2007,10
0.509210583716288,2008,10
0.505264788248043,2009,10
0.545368180352277,2010,10
0.356216890785064,2011,10
0.376264172748641,2012,10
0.418162829175323,2013,10
0.380310442195891,2014,10
0.299379147898814,2015,10
0.312225212924519,2016,10
0.269403430588251,2017,10
0.290349139699858,2018,10
0.230594358946887,2019,10
abund,year,grid_id
0.222931263833018,2001,11
0.229571380191506,2002,11
0.229631001038605,2003,11
0.23760109554963,2004,11
0.237329182525635,2005,11
0.265181912458247,2006,11
0.221486566876786,2007,11
0.354372377055931,2008,11
0.221454311648845,2009,11
0.213905054294042,2010,11
0.220973549596203,2011,11
0.213232533621061,2012,11
0.250483399734871,2013,11
0.212779856726642,2014,11
0.250871686382324,2015,11
0.251642226034239,2016,11
0.226080220722535,2017,11
0.218546606235272,2018,11
0.225574164661312,2019,11
abund,year,grid_id
0.460363613081011,2001,12
0.446421550774313,2002,12
0.511507032497293,2003,12
0.419741050084319,2004,12
0.394593671171884,2006,12
0.381794575259611,2007,12
0.428822839536354,2008,12
0.358875442525483,2009,12
0.342819720744359,2010,12
0.33553963728595,2011,12
0.425101197821194,2012,12
0.315301980635675,2013,12
0.354201093397162,2014,12
0.297336277090147,2015,12
0.288209541122759,2016,12
0.27925282487235,2017,12
0.270666042697378,2018,12
abund,year,grid_id
0.223079300863136,2001,16
0.223443392106567,2002,16
0.217710944183229,2004,16
0.224538615606906,2005,16
0.22490467080771,2006,16
0.225271215055534,2007,16
0.225638247567612,2008,16
0.226005767542237,2009,16
0.226373774181119,2010,16
0.306335630297102,2012,16
0.220846658807298,2013,16
0.225262760348788,2014,16
0.225990523558312,2016,16
0.227290980253407,2018,16
0.227657230779253,2019,16
abund,year,grid_id
0.422165579659681,2009,37
0.347866560255549,2010,37
abund,year,grid_id
0.409429112598016,2002,38
0.467925181432882,2003,38
0.359391317765445,2007,38
0.391628415508929,2010,38
0.367471802238153,2017,38
abund,year,grid_id
0.632345761942162,2002,46
0.452827891696616,2003,46
0.437767198884547,2004,46
0.459829293561497,2008,46
0.375537842564023,2009,46
0.362768098865022,2010,46
0.3504162574401,2011,46
0.338469517272772,2012,46
0.289011854554105,2016,46
0.279242319437722,2017,46
0.373966704690236,2018,46
0.26064372902205,2019,46
abund,year,grid_id
0.385769319319326,2002,48
0.361941257881115,2005,48
0.353287979252495,2006,48
0.344834273953455,2007,48
0.337490926515326,2008,48
0.329383753449484,2009,48
0.321465078698771,2010,48
0.374068498241454,2011,48
0.306176782114727,2012,48
0.29879914166044,2013,48
0.291593959606133,2014,48
0.284557422974209,2015,48
0.277685795037657,2016,48
0.269798290462695,2017,48
0.263297886901322,2018,48
0.256949410863947,2019,48
abund,year,grid_id
0.373821326324032,2002,49
0.426330644577937,2003,49
0.356498250302484,2004,49
0.37029205407861,2005,49
0.46384164351848,2006,49
0.388706867552003,2007,49
0.381112048669481,2008,49
0.397184877339224,2009,49
0.308869211509991,2010,49
0.318429692998852,2011,49
0.348470329839547,2012,49
0.302752261506862,2013,49
0.281845862026259,2014,49
0.325094886625998,2015,49
0.268459684446293,2016,49
0.260722650605419,2017,49
0.31343490817482,2018,49
0.248328326225646,2019,49
abund,year,grid_id
0.425076434835764,2002,50
0.484528709057188,2003,50
0.392312485298628,2005,50
0.381935479644841,2006,50
0.37182009991552,2007,50
0.361960229981192,2008,50
0.361751799813142,2009,50
0.351937837549766,2010,50
0.342381546496246,2011,50
0.382972575772913,2012,50
0.37301190555456,2013,50
0.363294920364009,2014,50
0.35381622703864,2015,50
