StateProvince,new_med_tau,new_med_prec,new_min_prec,new_max_prec,Species
NB,2.37051462334971,9.60490771904884,6.17403843153043,15.3232602151415,Barred Owl
NS,-0.327027447974942,10.1348614328284,6.25258776374707,21.9176274403286,Barred Owl
PE,4.32590038254685,10.6359041432735,6.33949278993555,18.7670500329285,Barred Owl
StateProvince,new_med_tau,new_med_prec,new_min_prec,new_max_prec,Species
NB,-2.23912346243805,25.5576460467891,20.5853663622137,42.565368346375,Boreal Owl
PE,-6.94551891272578,22.3110079330222,16.2737945892714,25.9383798302252,Boreal Owl
StateProvince,new_med_tau,new_med_prec,new_min_prec,new_max_prec,Species
NB,-3.8072928503802,8.85076372528395,6.84470526187864,13.9786083087373,Great Horned Owl
NS,-4.07386884927062,10.8951161908071,8.70803627238782,18.0723354856243,Great Horned Owl
PE,-3.17487373417603,10.926075573837,8.72497829685623,16.326509003822,Great Horned Owl
StateProvince,new_med_tau,new_med_prec,new_min_prec,new_max_prec,Species
NB,-0.753745502293868,8.03724549069735,7.10957263100674,11.7033063788317,Northern Saw-whet Owl
NS,-1.9174560461343,9.82610116169615,7.39072093372819,28.8972576098843,Northern Saw-whet Owl
PE,-2.20824322404103,9.60464482279376,8.24986765805862,13.8476245473621,Northern Saw-whet Owl
