X50.,X2.5.,X97.5.,Species
0.926771650520786,-4.4703791142692,7.07844693483949,Barred Owl
X50.,X2.5.,X97.5.,Species
-5.09893062657099,-11.7262014500062,2.25523840952529,Boreal Owl
X50.,X2.5.,X97.5.,Species
-3.90267776389517,-8.39586879389393,0.780470810838649,Great Horned Owl
X50.,X2.5.,X97.5.,Species
-0.776306356186984,-4.84946494340221,3.10463006382831,Northern Saw-whet Owl
X50.,X2.5.,X97.5.,Species
0.965444990309972,-4.57521163132022,7.40345924926966,Barred Owl
X50.,X2.5.,X97.5.,Species
-5.04491785913599,-11.4250959038549,2.33107378215526,Boreal Owl
X50.,X2.5.,X97.5.,Species
-1.58893668432035,-5.80504346139823,2.85385196316999,Great Horned Owl
X50.,X2.5.,X97.5.,Species
-0.833464293624081,-4.66381778798817,3.21615801864611,Northern Saw-whet Owl
