StateProvince,med_tau,lcl_tau,ucl_tau,iw_tau,n,Species
NB,0.73932625333516,-8.85619578119742,16.5428751023314,25.3990708835288,63,Barred Owl
NS,3.67633413626332,-3.40087318484821,15.4897857014739,18.8906588863221,37,Barred Owl
PE,2.98512732049404,-6.02720643639441,17.8109303025137,23.8381367389081,7,Barred Owl
StateProvince,med_tau,lcl_tau,ucl_tau,iw_tau,n,Species
NB,-4.56288704230721,-12.7968245957597,4.67346564728225,17.4702902430419,24,Boreal Owl
PE,-0.594214418231531,-10.2665035237343,12.661606968164,22.9281104918982,6,Boreal Owl
StateProvince,med_tau,lcl_tau,ucl_tau,iw_tau,n,Species
NB,-3.91086124146405,-11.7141580117772,7.44444461291951,19.1586026246967,57,Great Horned Owl
NS,-2.89272718794942,-9.80771835629184,4.9111523616937,14.7188707179855,34,Great Horned Owl
PE,-1.09968090246555,-7.83121375710229,6.68462514002316,14.5158388971255,7,Great Horned Owl
StateProvince,med_tau,lcl_tau,ucl_tau,iw_tau,n,Species
NB,-2.13666161261544,-7.23208696735772,4.98705412279535,12.2191410901531,61,Northern Saw-whet Owl
NS,-0.951686514604333,-4.85389119585477,3.02562261905904,7.87951381491381,36,Northern Saw-whet Owl
PE,-0.865954720190809,-4.70673971507931,4.16583396334884,8.87257367842815,7,Northern Saw-whet Owl
