SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
GHOW,41,41,0.273515869,0.138830543,0.503848086,0.365017543,1.293302383,-3.141809847,6.646653607,9.788463454,0,NB,99,1
GHOW,42,42,0.282242105,0.162939785,0.465265501,0.302325716,1.221086181,-2.555925873,5.788254668,8.34418054,0,NB,101,1
GHOW,43,43,0.299396127,0.185294227,0.475646874,0.290352647,1.227016749,-2.319728804,5.490592086,7.81032089,0,NB,102,2
GHOW,44,44,0.338653911,0.208070715,0.571382922,0.363312208,0.512406075,-3.33709333,4.516268242,7.853361572,0,NB,103,1
GHOW,45,45,0.306072468,0.18052304,0.509126863,0.328603824,0.848042546,-2.791943871,4.940153015,7.732096886,0,NB,109,1
GHOW,46,46,0.244889867,0.117734869,0.46806244,0.350327571,1.793602388,-3.062620913,7.842458679,10.90507959,0,NS,114,1
GHOW,47,47,0.282847821,0.151637276,0.506571327,0.354934051,1.354243481,-2.818830781,6.347840083,9.166670865,0,NS,165,1
GHOW,48,48,0.278025327,0.15898955,0.459173342,0.300183792,1.441138129,-2.32924785,6.168226111,8.497473962,0,NS,173,1
GHOW,49,49,0.278449709,0.16765177,0.438684733,0.271032963,1.208862078,-2.342006983,5.454470186,7.796477169,0,NS,176,2
GHOW,50,50,0.301150236,0.161344228,0.543868953,0.382524725,1.546510004,-2.950090154,7.285398136,10.23548829,0,NS,177,1
GHOW,51,51,0.310659117,0.179943792,0.52135706,0.341413268,1.141810871,-2.737408414,5.823194038,8.560602452,0,NS,178,1
GHOW,52,52,0.328163955,0.202134328,0.534244301,0.332109973,0.563992136,-3.150171348,4.509247816,7.659419163,0,NS,182,1
GHOW,53,53,0.315974006,0.19003338,0.512667596,0.322634216,0.72547581,-2.967289572,4.860578919,7.827868491,0,NS,185,1
GHOW,54,54,0.317337144,0.185709118,0.52841862,0.342709503,0.681697952,-3.157668796,4.930207841,8.087876637,0,NS,186,1
