Grid_ID,RouteIdentifier,survey_year,CollectorNumber,nstop
50,NB005,2006,1075571,10
50,NB005,2003,1075571,10
50,NB005,2002,1075571,10
50,NB005,2001,1075571,10
50,NB005,2004,1075571,10
50,NB006,2001,1074819,10
50,NB006,2016,1074874,10
50,NB006,2014,1074874,10
50,NB006,2015,1074874,10
50,NB006,2013,1074898,10
50,NB006,2002,1075571,10
50,NB006,2003,1075571,10
50,NB006,2011,1075571,10
50,NB006,2004,1075571,10
50,NB006,2005,1075571,10
50,NB006,2009,1075571,10
50,NB006,2007,1075571,10
50,NB006,2010,1075571,10
57,NB007,2001,1074776,10
57,NB007,2003,1074776,10
57,NB007,2002,1074776,10
57,NB007,2006,1077302,10
59,NB008,2012,1074897,10
59,NB008,2010,1077285,10
59,NB008,2001,1077285,9
59,NB008,2009,1077285,9
59,NB008,2002,1077285,10
59,NB008,2007,1077285,9
59,NB008,2006,1077285,9
59,NB008,2005,1077285,10
59,NB008,2003,1077285,8
74,NB009,2002,1030122,10
74,NB009,2003,1030122,10
74,NB009,2008,1030122,10
74,NB009,2005,1030122,10
74,NB009,2006,1030122,10
74,NB009,2007,1030122,9
74,NB009,2012,1030122,10
74,NB009,2011,1030122,10
74,NB009,2015,1030122,10
74,NB009,2010,1030122,10
74,NB009,2009,1030122,10
74,NB009,2014,1030122,10
77,NB010,2010,1030030,7
77,NB010,2001,1074815,10
77,NB010,2004,1074836,10
99,NB011,2009,1051811,10
99,NB011,2008,1051811,10
99,NB011,2007,1051811,10
99,NB011,2006,1051811,10
99,NB011,2005,1051811,10
99,NB011,2016,1051811,7
99,NB011,2004,1051811,10
99,NB011,2002,1051811,10
99,NB011,2012,1051811,10
99,NB011,2001,1051811,10
99,NB011,2011,1051811,10
99,NB011,2003,1051811,10
99,NB012,2002,1030122,10
99,NB012,2004,1030122,10
99,NB012,2003,1030122,10
96,NB013,2003,1030122,9
96,NB013,2004,1030122,8
96,NB013,2005,1030122,7
96,NB013,2006,1030122,9
96,NB013,2011,1030122,10
96,NB013,2009,1030122,10
96,NB013,2002,1074835,9
84,NB014,2003,1030122,10
84,NB014,2004,1030122,8
84,NB014,2001,1074783,9
84,NB014,2002,1074823,9
84,NB014,2005,1074863,8
114,NB015,2002,1074808,10
114,NB015,2001,1074808,10
114,NB015,2008,1077271,10
114,NB015,2006,1077271,10
114,NB015,2010,1077271,10
114,NB015,2005,1077271,10
114,NB015,2007,1077271,10
114,NB015,2016,1077271,7
90,NB016,2013,1051811,9
90,NB016,2007,1051811,10
90,NB016,2006,1051811,10
90,NB016,2005,1051811,10
90,NB016,2001,1077273,10
101,NB017,2010,1030030,10
101,NB017,2015,1030056,10
101,NB017,2012,1030056,9
101,NB017,2014,1030056,9
101,NB017,2011,1030056,10
101,NB017,2016,1030056,9
101,NB017,2013,1030056,10
101,NB017,2001,1074795,10
101,NB017,2004,1074795,10
101,NB017,2003,1074795,10
70,NB018,2005,1051817,10
70,NB018,2003,1051817,10
70,NB018,2004,1051817,10
70,NB018,2001,1074816,10
69,NB019,2002,1074806,10
69,NB019,2001,1074806,10
62,NB020,2010,1051817,9
62,NB020,2009,1051817,9
62,NB020,2011,1051817,8
62,NB020,2008,1051817,9
62,NB020,2006,1051817,9
62,NB020,2005,1051817,9
62,NB020,2004,1051817,9
62,NB020,2003,1051817,9
62,NB020,2013,1051817,9
62,NB020,2007,1051817,9
62,NB020,2001,1074799,9
62,NB020,2002,1074837,9
70,NB021,2001,1051818,10
70,NB021,2009,1051818,10
70,NB021,2007,1051818,10
70,NB021,2006,1051818,10
70,NB021,2005,1051818,10
70,NB021,2012,1051818,10
70,NB021,2003,1051818,10
70,NB021,2010,1051818,10
70,NB021,2008,1051818,10
43,NB022,2006,1030387,10
43,NB022,2010,1030387,10
43,NB022,2008,1030387,10
43,NB022,2001,1030387,10
43,NB022,2009,1030387,10
43,NB022,2002,1030387,10
43,NB022,2003,1030387,10
43,NB022,2005,1030387,10
43,NB022,2012,1030387,10
43,NB022,2011,1030387,10
43,NB022,2004,1030387,10
43,NB022,2013,1032674,10
43,NB022,2014,1032674,10
43,NB023,2016,1030368,10
43,NB023,2001,1030368,10
43,NB023,2002,1030368,10
43,NB023,2003,1030368,10
43,NB023,2004,1030368,10
43,NB023,2005,1030368,10
43,NB023,2006,1030368,10
43,NB023,2007,1030368,10
43,NB023,2015,1030368,10
43,NB023,2009,1030368,10
43,NB023,2008,1030368,10
43,NB023,2013,1030368,10
43,NB023,2012,1030368,7
43,NB023,2011,1030368,7
43,NB023,2010,1030368,10
43,NB023,2014,1030368,10
33,NB024,2004,1051822,10
33,NB024,2001,1051822,10
33,NB024,2002,1051822,9
33,NB024,2003,1051822,9
33,NB024,2012,1051822,9
33,NB024,2010,1051822,10
33,NB024,2005,1051822,9
33,NB024,2008,1051822,10
33,NB024,2006,1051822,10
33,NB024,2007,1051822,9
33,NB024,2009,1051822,9
25,NB025,2014,1030464,10
25,NB025,2001,1030464,10
25,NB025,2005,1030464,10
25,NB025,2003,1030464,10
25,NB025,2013,1030464,10
25,NB025,2007,1030464,10
25,NB025,2010,1030464,10
25,NB025,2006,1030464,10
25,NB025,2016,1030464,10
35,NB026,2010,1030642,10
35,NB026,2009,1030642,10
35,NB026,2001,1074825,10
35,NB026,2015,1074876,8
35,NB026,2012,1074889,7
35,NB026,2005,1077301,10
35,NB026,2006,1077301,10
17,NB027,2010,1051826,10
17,NB027,2005,1051826,10
17,NB027,2006,1051826,10
17,NB027,2007,1051826,10
17,NB027,2016,1051826,10
17,NB027,2009,1051826,10
17,NB027,2011,1051826,10
17,NB027,2013,1051826,10
17,NB027,2015,1051826,10
17,NB027,2014,1051826,10
17,NB027,2008,1051826,10
17,NB027,2003,1074774,10
11,NB028,2011,1051827,10
11,NB028,2007,1051827,8
11,NB028,2006,1051827,9
11,NB028,2005,1051827,10
11,NB028,2009,1051827,9
11,NB028,2008,1051827,9
11,NB028,2014,1051827,9
11,NB028,2013,1051827,10
11,NB028,2012,1051827,9
11,NB028,2010,1051827,10
11,NB028,2016,1051827,9
11,NB028,2015,1051827,9
11,NB028,2001,1075308,10
11,NB028,2002,1075308,9
11,NB028,2003,1075308,10
7,NB029,2014,1045459,10
7,NB029,2016,1074875,10
7,NB029,2006,1077305,10
7,NB029,2004,1077305,10
7,NB029,2005,1077305,9
7,NB029,2010,1081633,10
26,NB030,2016,1051830,10
26,NB030,2015,1051830,10
26,NB030,2008,1075212,10
26,NB030,2007,1075212,10
26,NB030,2002,1077260,10
26,NB030,2006,1077260,10
26,NB030,2003,1077260,10
26,NB030,2001,1077260,10
26,NB030,2004,1077260,10
26,NB030,2005,1077260,10
18,NB031,2006,1030067,10
18,NB031,2001,1030067,10
18,NB031,2007,1030067,10
18,NB031,2003,1030067,9
18,NB031,2002,1030067,10
18,NB031,2015,1051830,10
18,NB031,2016,1051830,10
18,NB031,2014,1051830,10
18,NB031,2013,1051830,9
18,NB031,2012,1051830,10
26,NB032,2007,1077269,9
26,NB032,2003,1077269,10
26,NB032,2004,1077269,10
26,NB032,2005,1077269,10
26,NB032,2009,1077269,10
26,NB032,2006,1077269,10
26,NB032,2010,1077269,10
26,NB032,2002,1077269,10
26,NB032,2001,1077269,10
26,NB032,2012,1077269,10
34,NB033,2013,1030374,10
34,NB033,2011,1030374,10
34,NB033,2009,1030374,10
34,NB033,2010,1030374,10
34,NB033,2015,1030374,10
34,NB033,2014,1030374,10
34,NB033,2012,1030374,10
34,NB033,2016,1030374,10
34,NB033,2001,1074782,10
34,NB033,2002,1074911,10
34,NB033,2004,1074911,10
34,NB033,2006,1074911,10
34,NB033,2008,1074911,10
52,NB034,2002,1074788,10
52,NB034,2001,1074788,9
52,NB034,2003,1074788,10
52,NB035,2009,1077266,10
52,NB035,2014,1077266,10
52,NB035,2010,1077266,10
52,NB035,2007,1077266,10
52,NB035,2006,1077266,9
52,NB035,2005,1077266,10
52,NB035,2001,1077266,9
52,NB035,2002,1077266,10
52,NB035,2011,1077266,10
52,NB035,2003,1077266,9
52,NB035,2012,1077266,10
52,NB035,2013,1077266,10
52,NB035,2008,1077266,10
52,NB035,2004,1077266,9
69,NB036,2002,1051832,10
69,NB036,2008,1051832,10
69,NB036,2006,1051832,10
69,NB036,2005,1051832,10
69,NB036,2004,1051832,10
69,NB036,2003,1051832,10
69,NB036,2007,1051832,10
69,NB036,2011,1051832,10
69,NB036,2015,1051832,10
69,NB036,2014,1051832,10
69,NB036,2009,1051832,10
69,NB036,2013,1051832,10
69,NB036,2012,1051832,10
69,NB036,2010,1051832,10
69,NB036,2001,1051832,10
69,NB036,2016,1051832,10
69,NB037,2009,1051818,10
69,NB037,2012,1051818,10
69,NB037,2003,1051818,10
69,NB037,2006,1051818,10
69,NB037,2007,1051818,10
69,NB037,2001,1051818,10
69,NB037,2002,1051818,10
69,NB037,2010,1051818,10
78,NB038,2016,1030372,10
78,NB038,2015,1030372,10
78,NB038,2010,1030372,9
78,NB038,2013,1030372,10
78,NB038,2011,1030372,10
78,NB038,2009,1030372,10
78,NB038,2012,1030372,10
78,NB038,2001,1074810,10
78,NB038,2003,1074810,10
78,NB038,2004,1074844,10
91,NB039,2008,1032147,10
91,NB039,2010,1032147,10
91,NB039,2014,1032147,10
91,NB039,2009,1032147,10
91,NB039,2011,1032147,10
91,NB039,2013,1032147,10
91,NB039,2015,1032147,10
91,NB039,2016,1032147,10
91,NB039,2001,1074805,10
91,NB039,2002,1074841,10
91,NB039,2006,1077258,10
91,NB039,2005,1077258,10
91,NB039,2004,1077258,10
91,NB039,2003,1077258,10
100,NB040,2002,1030056,10
100,NB040,2005,1074803,10
100,NB040,2003,1074803,10
100,NB040,2004,1074803,10
100,NB041,2008,1030056,10
100,NB041,2012,1030056,10
100,NB041,2009,1030056,9
100,NB041,2004,1030056,10
100,NB041,2002,1030056,10
100,NB041,2010,1030056,10
100,NB041,2016,1030056,10
100,NB041,2011,1030056,10
100,NB041,2003,1030056,10
100,NB041,2015,1030056,10
100,NB041,2013,1030056,10
100,NB041,2014,1030056,10
100,NB041,2005,1030056,10
100,NB041,2006,1030056,10
100,NB041,2007,1030056,9
100,NB041,2001,1074812,10
114,NB042,2008,1077271,10
114,NB042,2012,1077271,10
114,NB042,2010,1077271,10
114,NB042,2002,1077271,10
114,NB042,2016,1077271,10
114,NB042,2003,1077271,10
114,NB042,2004,1077271,10
114,NB042,2006,1077271,10
114,NB042,2007,1077271,10
114,NB042,2001,1077271,10
113,NB043,2011,1051811,9
113,NB043,2015,1051811,9
113,NB043,2008,1051811,9
113,NB043,2009,1051811,9
113,NB043,2016,1051811,9
113,NB043,2013,1051811,9
113,NB043,2012,1051811,9
113,NB043,2004,1077268,9
113,NB043,2007,1077268,9
113,NB043,2005,1077268,8
113,NB043,2003,1077268,8
113,NB043,2006,1077268,9
113,NB043,2001,1077268,9
113,NB043,2002,1077268,9
100,NB044,2001,1074801,9
100,NB044,2004,1074801,10
100,NB044,2003,1074801,10
100,NB044,2005,1077303,10
100,NB044,2006,1077303,10
100,NB044,2007,1077303,10
100,NB044,2008,1077303,6
100,NB045,2013,1051811,10
100,NB045,2011,1051811,10
100,NB045,2008,1051811,10
100,NB045,2009,1051811,10
100,NB045,2007,1051811,10
100,NB045,2002,1077267,10
100,NB045,2003,1077267,10
100,NB045,2001,1077267,10
76,NB046,2016,1030405,10
76,NB046,2006,1030405,10
76,NB046,2015,1030405,10
76,NB046,2008,1030405,10
76,NB046,2009,1030405,10
76,NB046,2011,1030405,10
76,NB046,2014,1030405,10
76,NB046,2013,1030405,10
76,NB046,2010,1030405,10
76,NB046,2005,1030405,10
76,NB046,2007,1030405,10
76,NB046,2001,1074791,10
76,NB046,2002,1074791,10
76,NB046,2003,1074791,10
76,NB046,2004,1074791,10
76,NB047,2008,1030070,10
76,NB047,2009,1030349,10
76,NB047,2013,1030349,10
76,NB047,2010,1030349,10
76,NB047,2012,1030349,10
76,NB047,2003,1077265,10
76,NB047,2006,1077265,10
76,NB047,2001,1077265,10
76,NB047,2005,1077265,10
76,NB047,2004,1077265,10
76,NB047,2002,1077265,10
60,NB048,2010,1030092,5
60,NB048,2013,1030092,10
60,NB048,2007,1030092,10
60,NB048,2009,1030092,10
60,NB048,2012,1030092,9
60,NB048,2006,1030092,10
60,NB048,2005,1030092,9
60,NB048,2004,1030092,10
60,NB048,2003,1030092,10
67,NB049,2012,1051839,10
67,NB049,2015,1051839,10
67,NB049,2009,1051839,10
67,NB049,2006,1051839,10
67,NB049,2007,1051839,10
67,NB049,2010,1051839,10
67,NB049,2008,1051839,10
67,NB049,2001,1074809,10
67,NB049,2002,1074809,10
51,NB050,2001,1077275,10
51,NB050,2002,1077275,10
51,NB050,2009,1077275,10
51,NB050,2007,1077275,10
51,NB050,2006,1077275,10
51,NB050,2005,1077275,10
51,NB050,2004,1077275,10
51,NB050,2003,1077275,10
51,NB050,2010,1077275,8
51,NB050,2012,1077275,10
42,NB051,2005,1030642,10
42,NB051,2003,1030642,9
42,NB051,2004,1030642,10
42,NB051,2013,1051842,10
42,NB051,2012,1051842,10
42,NB051,2010,1081637,10
22,NB052,2015,1030084,10
22,NB052,2003,1030084,9
22,NB052,2001,1030084,9
22,NB052,2008,1030084,10
22,NB052,2012,1030084,10
22,NB052,2011,1030084,10
22,NB052,2014,1030084,10
22,NB052,2005,1030084,10
22,NB052,2007,1030084,10
22,NB052,2010,1030084,10
22,NB052,2016,1030084,10
22,NB052,2009,1030084,10
22,NB052,2013,1030084,10
22,NB052,2002,1030084,10
23,NB053,2001,1030085,10
23,NB053,2008,1030085,10
23,NB053,2007,1030085,10
23,NB053,2016,1030085,10
23,NB053,2004,1030085,10
23,NB053,2002,1030085,10
23,NB053,2005,1030085,10
23,NB053,2003,1030085,10
23,NB053,2009,1030085,10
23,NB053,2006,1030085,10
23,NB053,2013,1030085,10
23,NB053,2010,1030085,10
23,NB053,2011,1030085,10
23,NB053,2012,1030085,10
23,NB053,2015,1030085,9
23,NB053,2014,1030085,10
23,NB054,2012,1030073,10
23,NB054,2007,1030073,10
23,NB054,2014,1030073,10
23,NB054,2011,1030073,10
23,NB054,2009,1030073,10
23,NB054,2008,1030073,10
23,NB054,2016,1030073,10
23,NB054,2013,1030073,10
23,NB054,2002,1075212,10
23,NB054,2001,1075212,10
23,NB054,2003,1075212,10
23,NB054,2004,1075212,10
23,NB054,2005,1075212,10
22,NB055,2006,1051849,10
22,NB055,2004,1051849,10
22,NB055,2003,1051849,8
22,NB055,2002,1051849,10
22,NB055,2001,1051849,10
16,NB056,2012,1077272,10
16,NB056,2001,1077272,10
16,NB056,2005,1077272,10
16,NB056,2013,1077272,10
16,NB056,2015,1077272,10
16,NB056,2010,1077272,10
16,NB056,2004,1077272,10
16,NB056,2011,1077272,10
16,NB056,2006,1077272,10
16,NB056,2007,1077272,10
16,NB056,2002,1077272,10
16,NB056,2009,1077272,10
16,NB056,2003,1077272,10
16,NB056,2008,1077272,10
23,NB057,2016,1030089,10
23,NB057,2015,1030089,10
23,NB057,2004,1030089,10
23,NB057,2002,1030089,10
23,NB057,2001,1030089,10
23,NB057,2003,1030089,9
23,NB057,2006,1030089,10
23,NB057,2014,1030089,10
23,NB057,2010,1030089,10
23,NB057,2005,1030089,10
23,NB057,2011,1030089,10
23,NB057,2009,1030089,10
29,NB058,2011,1030072,10
29,NB058,2010,1030072,9
29,NB058,2012,1030072,8
29,NB058,2008,1030072,10
29,NB058,2006,1030072,10
29,NB058,2005,1030072,8
29,NB058,2004,1030072,10
29,NB058,2003,1030072,10
29,NB058,2002,1030072,10
29,NB058,2001,1030072,10
29,NB059,2014,1030072,10
29,NB059,2010,1030137,10
29,NB059,2009,1030137,10
29,NB059,2011,1030137,10
29,NB059,2001,1074813,10
29,NB059,2003,1075448,10
29,NB059,2004,1075448,10
29,NB059,2007,1075448,10
29,NB059,2006,1077267,10
29,NB059,2005,1077267,10
38,NB060,2004,1030404,10
38,NB060,2007,1030404,10
38,NB060,2009,1030404,9
38,NB060,2005,1030404,8
38,NB060,2002,1043895,10
38,NB061,2002,1030081,9
38,NB061,2009,1030081,8
38,NB061,2011,1030081,10
38,NB061,2007,1030081,10
38,NB061,2006,1030081,10
38,NB061,2005,1030081,10
38,NB061,2003,1030081,10
38,NB061,2001,1030081,9
38,NB061,2015,1030081,10
38,NB061,2010,1030081,10
38,NB061,2012,1030081,10
38,NB061,2013,1030081,10
38,NB061,2014,1030081,10
38,NB061,2008,1030081,10
38,NB061,2004,1030081,10
38,NB062,2009,1030030,7
38,NB062,2011,1030030,9
38,NB062,2008,1030030,8
38,NB062,2015,1030030,9
38,NB062,2016,1030030,8
38,NB062,2012,1030030,9
38,NB062,2010,1030030,9
38,NB062,2013,1051842,7
38,NB062,2001,1074794,9
38,NB062,2006,1077273,6
38,NB062,2005,1077273,8
38,NB062,2004,1077273,9
56,NB063,2015,1030030,10
56,NB063,2007,1030642,10
56,NB063,2008,1030957,5
56,NB063,2010,1043244,10
56,NB063,2003,1074784,10
56,NB063,2001,1074784,10
56,NB063,2002,1074784,10
56,NB063,2016,1074880,7
58,NB064,2006,1030092,10
58,NB064,2011,1030092,10
58,NB064,2013,1030092,9
58,NB064,2012,1030092,10
58,NB064,2003,1030092,10
58,NB064,2004,1030092,10
58,NB064,2009,1030092,8
58,NB064,2007,1030092,10
58,NB064,2008,1030092,10
58,NB064,2005,1030092,10
58,NB064,2001,1074785,10
58,NB064,2002,1075448,10
87,NB065,2010,1030030,10
87,NB065,2002,1074820,10
87,NB065,2001,1074820,10
87,NB065,2003,1074820,10
87,NB066,2001,1074821,9
87,NB066,2002,1074844,7
97,NB067,2004,1030405,10
97,NB067,2003,1030405,10
97,NB067,2001,1074811,10
97,NB067,2002,1074811,10
28,NB068,2005,1030030,10
234,NB068,2005,1030030,10
28,NB068,2007,1051843,10
234,NB068,2007,1051843,10
28,NB068,2015,1051843,10
234,NB068,2015,1051843,10
28,NB068,2014,1051843,10
234,NB068,2014,1051843,10
28,NB068,2016,1051843,10
234,NB068,2016,1051843,10
28,NB068,2001,1074800,10
234,NB068,2001,1074800,10
28,NB068,2004,1074800,10
234,NB068,2004,1074800,10
28,NB068,2003,1074800,9
234,NB068,2003,1074800,9
28,NB069,2005,1013890,10
234,NB069,2005,1013890,10
28,NB069,2004,1013890,10
234,NB069,2004,1013890,10
28,NB069,2003,1013890,9
234,NB069,2003,1013890,9
28,NB069,2002,1013890,10
234,NB069,2002,1013890,10
28,NB069,2012,1013890,10
234,NB069,2012,1013890,10
28,NB069,2015,1013890,7
234,NB069,2015,1013890,7
28,NB069,2016,1013890,10
234,NB069,2016,1013890,10
28,NB069,2001,1013890,10
234,NB069,2001,1013890,10
28,NB069,2013,1013890,10
234,NB069,2013,1013890,10
28,NB069,2007,1013890,10
234,NB069,2007,1013890,10
28,NB069,2009,1013890,10
234,NB069,2009,1013890,10
28,NB069,2008,1013890,9
234,NB069,2008,1013890,9
28,NB069,2011,1013890,10
234,NB069,2011,1013890,10
28,NB069,2010,1013890,9
234,NB069,2010,1013890,9
28,NB069,2014,1013890,9
234,NB069,2014,1013890,9
28,NB069,2006,1030237,10
234,NB069,2006,1030237,10
37,NB070,2006,1030030,10
240,NB070,2006,1030030,10
37,NB070,2012,1043244,10
240,NB070,2012,1043244,10
37,NB070,2015,1043244,10
240,NB070,2015,1043244,10
37,NB070,2013,1043244,10
240,NB070,2013,1043244,10
37,NB070,2005,1074818,10
240,NB070,2005,1074818,10
37,NB070,2004,1074818,10
240,NB070,2004,1074818,10
37,NB070,2003,1074818,10
240,NB070,2003,1074818,10
37,NB070,2002,1074818,10
240,NB070,2002,1074818,10
37,NB070,2001,1074818,10
240,NB070,2001,1074818,10
37,NB070,2007,1077262,10
240,NB070,2007,1077262,10
37,NB070,2008,1077262,9
240,NB070,2008,1077262,9
98,NB071,2015,1051845,10
98,NB071,2010,1051845,10
98,NB071,2012,1051845,10
98,NB071,2007,1051845,10
98,NB071,2005,1051845,10
98,NB071,2009,1051845,10
98,NB071,2008,1051845,10
98,NB071,2011,1051845,10
98,NB071,2001,1051845,10
98,NB071,2004,1051845,10
98,NB071,2003,1051845,9
98,NB071,2002,1051845,10
108,NB072,2002,1030122,10
108,NB072,2011,1030122,10
108,NB072,2007,1030122,10
108,NB072,2006,1030122,10
108,NB072,2005,1030122,10
108,NB072,2012,1030122,10
108,NB072,2003,1030122,10
108,NB072,2009,1030122,10
108,NB072,2008,1030122,10
108,NB072,2004,1030122,10
108,NB072,2001,1074823,10
78,NB073,2014,1030070,10
78,NB073,2010,1030070,10
78,NB073,2009,1030070,10
78,NB073,2004,1030070,10
78,NB073,2007,1030070,10
78,NB073,2006,1030070,10
78,NB073,2015,1030070,10
78,NB073,2005,1030070,9
78,NB073,2016,1030070,10
78,NB073,2011,1030070,10
78,NB073,2002,1030070,10
78,NB073,2012,1030070,10
78,NB073,2001,1030070,10
78,NB073,2003,1030070,10
78,NB073,2008,1030070,10
17,NB074,2013,1051846,10
17,NB074,2010,1051846,10
17,NB074,2012,1051846,9
17,NB074,2001,1074804,10
17,NB074,2002,1074804,10
48,NB075,2010,1030092,10
48,NB075,2013,1030092,10
48,NB075,2008,1030092,10
48,NB075,2012,1030092,9
48,NB075,2009,1030092,10
48,NB075,2011,1030092,10
48,NB075,2007,1030092,10
48,NB075,2001,1074824,10
48,NB075,2003,1074824,10
48,NB075,2004,1074824,10
48,NB075,2002,1074824,10
48,NB075,2005,1074833,10
48,NB075,2015,1079011,10
48,NB075,2016,1079011,8
48,NB075,2014,1079011,10
42,NB076,2010,1030030,9
42,NB076,2013,1044071,10
42,NB076,2002,1074781,10
42,NB076,2001,1074781,10
42,NB076,2003,1077253,10
42,NB076,2005,1077253,10
88,NB077,2002,1074807,10
88,NB077,2001,1074807,10
35,NB078,2010,1030030,10
35,NB078,2012,1032177,10
35,NB078,2004,1074814,8
35,NB078,2003,1074814,8
35,NB078,2002,1074814,10
35,NB078,2001,1074814,10
35,NB078,2005,1074867,10
35,NB078,2015,1074876,10
35,NB078,2016,1074879,7
49,NB079,2014,1051810,10
49,NB079,2016,1051810,10
49,NB079,2015,1051810,10
49,NB079,2001,1074817,10
49,NB079,2002,1074845,10
49,NB079,2003,1077254,10
34,NB080,2006,1051847,10
34,NB080,2011,1051847,10
34,NB080,2016,1051847,10
34,NB080,2013,1051847,10
34,NB080,2012,1051847,10
34,NB080,2007,1051847,10
34,NB080,2015,1051847,10
34,NB080,2005,1051847,10
34,NB080,2004,1051847,10
34,NB080,2001,1051847,10
34,NB080,2003,1051847,10
34,NB080,2010,1051847,10
34,NB080,2002,1051847,7
34,NB080,2008,1051847,10
34,NB080,2009,1051847,10
30,NB081,2013,1074779,10
